"EMISIJE","2008.","2012.","2016.","2019."
"N2O",9486.49,7680.44,5300.07,5741.87
"CH4",149208.45,151008.42,151852.65,142285.10
"HFC",338286.95,450901.86,534733.60,552601.90
"PFC",0.00,31.17,0.00,0.00
"SF6NF3",11976.09,9176.86,6391.16,5376.25
"NOx",87472.46,62645.83,57650.88,53926.87
"SOx",53463.70,24565.26,14818.12,8154.59
"NH3",47928.35,42055.91,35704.97,36761.64
"NMHOS",109368.15,81103.06,72977.56,75220.39
"CO",338394.26,287936.76,256997.01,216460.58
"PM10",55657.09,47079.88,42695.42,40829.34
"PM2,5",38410.08,35436.07,31602.17,28600.89
"CO2 iz b.",5298.65,6011.36,5970.35,6228.14
"CO2 bez emisija iz b.",23598.67,19088.54,18083.06,17778.84
